tgnID	placename	lat	lon	freq
2070324	Lyons	43.05	-76.017	000000008
7014550	Strasburg	39.983	-77.65	000000090
2601475	Puritan	39.15	-81.517	000000012
2651094	Secor	42.3	-92.933	000000002
7013813	Jersey City	41.717	-73.933	000000008
7022657	Manhattan	41.783	-73.033	000000002
7014126	Grand Rapids	43.95	-85.333	000000004
7007568	New York	43.0	-75.0	000000066
7013608	Cleveland	41.483	-81.317	000000038
7014135	Greensboro	36.067	-79.217	000000060
2101358	Russellville	36.25	-82.817	000000014
2715022	Tennessee River	37.067	-88.45	000000194
2080432	London	40.883	-82.567	000000256
2101363	Rutledge	36.267	-83.5	000000004
2002139	Amelia	37.35	-77.983	000000074
2110319	Amelia Court House	37.333	-77.033	000000056
2110224	Abingdon	37.7	-81.033	000000140
7014016	Maysville	39.633	-83.267	000000014
2098111	Bristol	37.583	-81.817	000000030
2120000	Middleway	39.3	-77.033	000000056
2681709	South River	34.667	-83.567	000000016
2057127	Okolona	34.0	-88.25	000000036
7017750	Memphis	35.133	-89.967	000000400
7018023	Vicksburg	32.35	-90.133	000000468
2099733	Jackson	36.6	-88.2	000000060
2435895	Kettle Run	39.933	-77.983	000000002
2100483	Morristown	36.2	-82.717	000000064
2098184	Bulls Gap	36.25	-82.917	000000016
2075897	Norfleet	36.133	-76.717	000000010
2240477	City Point	37.317	-76.733	000000392
2056380	Enterprise	32.167	-88.183	000000026
7014000	Marietta	34.95	-84.45	000000184
1002733	Northumberland	38.883	-75.583	000000010
2092056	Plank	42.567	-76.767	000000006
6002055	Fort Henry	37.5	-88.0	000000280
1002362	Essex	38.95	-76.05	000000036
2463110	Liverpool	33.7	-90.5	000000103
2058848	Fulton	39.833	-91.067	000000012
2280567	Deep Bottom	37.4	-76.7	000000074
7013981	Lynchburg	37.4	-78.867	000000790
2114999	West Point	38.517	-76.217	000000116
1002235	Caroline	38.033	-76.65	000000092
2405919	Hulston Mill	37.45	-93.283	000000002
1123825	Essex	43.583	-70.183	000000012
7016246	Essex	44.3	-72.65	000000012
1002359	Essex	43.667	-70.167	000000012
7008131	Essex	52.583	1.55	000000018
2110639	Bermuda Hundred	37.333	-76.733	000000090
1121283	Appomattox	37.4	-78.183	000000066
2030340	Sycamore	42.983	-88.317	000000004
7014406	Philadelphia	40.95	-74.85	000000316
7013511	Dayton	40.75	-83.817	000000028
7005685	Canada	60.0	-96.0	000000248
7014532	Springfield	37.2	-92.717	000000028
2038872	Flemingsburg	38.417	-83.267	000000010
2038431	Cynthiana	38.383	-83.717	000000044
2068595	Colliersville	42.483	-74.033	000000002
2064023	Balesville	41.1	-74.25	000000002
2022787	Eden	32.167	-80.617	000000010
2044787	Eden	44.417	-67.683	000000006
2000113	Chicot	33.283	-90.7	000000002
7010979	Porto	41.133	-8.4	000000002
7013947	Saint Paul	45.933	-92.917	000000026
2117837	Coalfield	38.0	-80.65	000000048
2068750	Cuba	42.217	-77.733	000000007
